,id,name,alias,startDate,coords,city,apartments<5lvl,apartments>=5lvl<10,apartments>=10<15,apartments>=15,dormitory,hotel,residential,commercial,office,retail,civic,college,school,transportation,university,stadium,sports_hall,pavilion,adult_gaming_centre,fitness_centre,park,sauna,hackerspace,bar,fast_food,cafe,food_court,restaurant,cinema,exhibition_centre,attraction,gallery,museum,zoo,yes,picnic_site
72,821,Калуга-2,ТРЦ Торговый Квартал,2018-07-09,"{'lat': 54.588392, 'long': 36.248724}",Калуга,52,231,8,4,2,0,8,38,4,11,0,1,2,0,0,0,0,0,0,0,7,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0
73,823,Краснокамск-1,Краснокамск,2019-02-11,"{'lat': 58.078771, 'long': 55.752302}",Краснокамск,0,2,0,0,2,0,933,4,5,2,0,0,1,0,0,0,0,0,0,0,14,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0
74,824,Санкт-Петербург 1-2,м. Звездная,2019-03-27,"{'lat': 59.830723, 'long': 30.350039}",Санкт-Петербург,14,300,83,93,12,0,0,9,13,45,0,2,19,0,1,0,0,16,0,1,43,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0
75,825,Санкт-Петербург 1-3,ул. Бассейная,2020-08-26,"{'lat': 59.86631, 'long': 30.314997}",Санкт-Петербург,16,725,48,22,34,2,11,24,50,28,4,2,47,3,3,0,0,36,0,1,89,1,0,0,2,3,0,2,0,0,1,0,0,0,0,0
76,826,Санкт-Петербург 1-4,ТРК Лондон Молл,2019-02-01,"{'lat': 59.912976, 'long': 30.446144}",Санкт-Петербург,46,362,123,115,17,3,5,17,31,51,4,0,34,0,1,0,0,4,0,0,46,0,0,0,4,4,0,5,0,0,0,0,0,0,0,0
77,827,Санкт-Петербург 1-5,пр-т. Большевиков,2018-09-11,"{'lat': 59.917804, 'long': 30.473532}",Санкт-Петербург,6,229,157,128,22,1,1,17,8,51,0,0,25,0,0,0,0,7,0,0,19,0,0,1,9,7,0,2,0,0,0,0,0,0,0,0
78,828,Санкт-Петербург 1-6,ТЦ Смайл,2021-05-14,"{'lat': 59.900507, 'long': 30.485892}",Санкт-Петербург,10,358,89,103,22,1,0,16,3,52,0,0,32,0,0,0,0,10,0,0,20,0,0,1,9,9,0,1,0,0,0,0,0,0,0,0
79,830,Елабуга-1,Елабуга,2018-11-20,"{'lat': 55.751039, 'long': 52.016948}",Елабуга,52,69,13,0,4,0,103,24,11,5,0,0,7,0,1,0,0,0,0,0,10,1,0,1,2,6,0,2,2,0,4,0,6,0,0,0
80,831,Щелково-2,Кинотеатр «Пять звёзд»,2018-08-20,"{'lat': 55.921345, 'long': 37.991906}",Щелково,226,201,47,34,7,0,0,11,5,50,1,1,16,0,0,0,0,0,0,0,8,2,0,0,1,1,0,2,0,0,0,0,1,0,0,0
81,832,Москва 0-17,Перово,2018-10-15,"{'lat': 55.753904, 'long': 37.752894}",Москва,17,503,140,44,9,1,1,12,37,19,1,4,21,2,6,0,0,0,0,1,12,0,0,0,1,2,1,0,0,0,6,0,0,0,0,0
82,833,Таганрог-2,Мармелад,2018-07-04,"{'lat': 47.217502, 'long': 38.898974}",Таганрог,67,288,11,1,9,0,31,56,0,50,0,10,22,1,7,0,0,0,0,1,31,0,0,2,3,14,0,4,1,0,2,0,6,1,0,0
83,835,Никольское-1,Никольское,2018-12-13,"{'lat': 59.701494, 'long': 30.786922}",Никольское,20,53,1,2,3,0,26,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0
