,index,Unnamed: 0,id,name,alias,startDate,coords,city,apartments<5lvl,apartments>=5lvl<10,apartments>=10<15,apartments>=15,dormitory,hotel,residential,commercial,office,retail,civic,college,school,transportation,university,stadium,sports_hall,pavilion,adult_gaming_centre,fitness_centre,park,sauna,hackerspace,bar,fast_food,cafe,food_court,restaurant,cinema,exhibition_centre,attraction,gallery,museum,zoo,yes,picnic_site
42,643,643,1304,Волоколамск-1,Волоколамск,2022-05-12,"{'lat': 56.030085, 'long': 35.959266}",Волоколамск,42,7,1,0,0,0,20,2,0,7,3,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,644,644,1305,Москва 0-26,ТРЦ Саларис,2021-12-30,"{'lat': 55.623569, 'long': 37.422243}",Москва,1,0,3,48,1,0,3,20,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,645,645,1306,Владивосток-2,"Владивосток-2, Космонавтов1/2",2022-01-31,"{'lat': 43.090067, 'long': 131.96686}",Владивосток,226,389,126,50,6,0,1,12,3,12,1,5,15,0,0,0,0,0,0,0,3,1,0,1,19,11,0,7,1,0,0,0,0,0,0,0
45,646,646,1307,Первоуральск-1,Первоуральск,2022-01-30,"{'lat': 56.904281, 'long': 59.943492}",Первоуральск,24,275,9,8,0,0,3,9,27,12,2,0,20,0,0,0,0,0,0,0,26,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0
46,647,647,1308,Нижний Новгород-4,"Нижний Новгород-4, Ж/д вокзал ""Московский""",2022-04-09,"{'lat': 56.320808, 'long': 43.944488}",Нижний Новгород,689,477,87,67,12,8,6,27,31,40,0,3,20,7,1,0,0,0,0,1,32,2,0,2,7,9,0,4,1,0,97,0,2,0,0,0
47,648,648,1309,Тарко-Сале-1,Тарко-Сале,2022-02-03,"{'lat': 64.915289, 'long': 77.759842}",Тарко-Сале,37,2,0,0,1,0,0,3,1,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0
48,649,649,1310,Астрахань-5,Декабристов,2022-01-26,"{'lat': 46.336907, 'long': 48.038021}",Астрахань,43,420,37,7,10,1,12,32,0,18,0,9,24,0,2,0,0,0,0,0,113,0,0,1,1,22,1,3,0,0,3,0,5,0,0,0
49,650,650,1313,Оренбург-3,Оренбург-3,2022-01-31,"{'lat': 51.774355, 'long': 55.184584}",Оренбург,63,302,45,36,5,3,5,52,4,52,1,1,15,0,2,0,1,0,0,1,16,3,0,0,0,8,0,6,0,0,1,0,1,0,0,0
50,651,651,1314,Соликамск-1,Соликамск,2022-03-15,"{'lat': 59.647428, 'long': 56.768468}",Соликамск,6,74,0,0,3,1,35,6,14,13,0,1,6,0,0,0,0,0,0,0,5,2,0,0,0,6,0,0,1,0,0,0,1,0,0,0
51,652,652,1320,Внуково-1,Внуково,2021-12-20,"{'lat': 55.615837, 'long': 37.263439}",Внуково,49,38,13,41,0,5,5,15,2,43,0,1,8,4,0,0,0,0,0,0,12,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
52,653,653,1321,Металлострой-1,Металлострой,2022-01-01,"{'lat': 59.813989, 'long': 30.564683}",Металлострой,72,69,29,31,6,0,2,2,6,13,1,0,5,0,0,0,0,4,0,0,15,0,0,2,1,2,0,1,0,0,3,0,0,0,0,0
53,654,654,1322,Пушкин-1,Пушкин,2022-01-10,"{'lat': 59.71862, 'long': 30.407002}",Пушкин,405,344,0,0,7,3,69,9,3,17,0,1,16,0,1,0,0,4,0,1,43,1,0,0,4,7,0,4,0,0,28,0,8,0,1,0
54,655,655,1323,Чебоксары-5,Шупашкар,2022-03-31,"{'lat': 56.098874, 'long': 47.286468}",Чебоксары,46,418,83,55,6,2,13,26,5,58,0,2,22,3,1,0,0,0,0,0,10,3,0,1,3,11,0,2,0,0,2,0,0,1,0,0
55,656,656,1324,Москва 12-3,Тагильская,2022-03-25,"{'lat': 55.818103, 'long': 37.752868}",Москва,10,530,88,37,6,0,0,16,8,26,2,6,24,4,4,3,1,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
56,657,657,1325,Волгоград-5,"Волгоград-5, Дзержинский ",2022-04-15,"{'lat': 48.74164, 'long': 44.489774}",Волгоград,286,708,88,103,16,11,8,33,15,195,11,5,33,1,3,1,0,1,0,1,53,1,0,0,10,23,0,2,1,0,1,0,0,0,0,0
57,658,658,1328,Уфа-5,Уфа-5. Гостинный Двор,2022-11-14,"{'lat': 54.724641, 'long': 55.943912}",Уфа,81,272,70,32,32,4,32,47,52,66,4,2,23,1,25,1,0,0,0,0,31,2,0,0,6,6,0,2,1,0,7,0,8,0,0,0
58,659,659,1329,Уфа-6,Уфа-6. ГДК,2022-02-11,"{'lat': 54.794988, 'long': 56.036627}",Уфа,11,171,17,29,9,0,4,22,2,33,2,2,27,0,0,3,0,0,0,0,13,2,0,0,7,5,0,0,1,0,5,0,2,0,0,0
